RR 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
538 25866 880369 1007 8090 9097 
530 25478 886184 3313 27585 30912 
544 26226 886533 38 311 349 
536 25726 887252 1863 15357 17220 
532 25547 888394 3105 25886 29004 
545 26290 888609 211 1865 2076 
542 26091 890752 1589 13385 14980 
533 25614 891927 3527 28931 32458 
540 26001 892855 2082 17269 19351 
537 25810 900645 3255 27084 30346 
549 26477 901109 1111 9233 10357 
539 25923 901578 3236 26748 29999 
541 26065 905831 3407 28098 31520 
547 26338 906585 1949 16232 18191 
550 26480 907383 1663 13793 15456 
546 26303 907763 2225 18286 20511 
551 26515 911317 1936 16510 18462 
558 26900 911580 417 3400 3817 
553 26608 911774 1126 9539 10665 
543 26157 914823 3710 30744 34454 
557 26828 916742 984 8369 9359 
556 26774 916960 1125 9246 10375 
548 26437 917559 3111 25827 28950 
560 26945 920825 976 8269 9245 
562 27014 920972 662 5477 6149 
552 26537 921069 2198 18218 20424 
568 27382 921969 93 807 900 
554 26678 923127 2299 19243 21549 
565 27202 924142 704 5872 6583 
570 27462 927688 497 4064 4561 
569 27432 929425 821 6635 7456 
563 27079 931218 1575 12898 14476 
571 27476 932859 925 7784 8717 
566 27206 933080 1285 10968 12255 
564 27172 933830 1824 15034 16870 
555 26680 936723 3351 27529 30892 
559 26936 937891 2834 23734 26574 
572 27546 941053 1439 11922 13365 
567 27294 941421 2178 18270 20449 
575 27691 944511 1262 10389 11652 
561 26963 944558 3547 29209 32784 
577 27788 944909 1161 9918 11079 
574 27641 952321 2283 18819 21103 
576 27703 954492 2302 19097 21412 
585 28237 956921 495 4104 4600 
583 28144 957875 1402 11905 13317 
579 27933 958782 2227 18658 20891 
581 28025 959101 1899 15775 17680 
590 28529 962610 398 3111 3509 
573 27573 962684 3604 29629 33259 
578 27844 964466 2975 24740 27743 
593 28741 966668 236 1966 2202 
584 28224 969459 2634 21916 24550 
580 27985 969847 3135 25648 28794 
592 28649 972233 1016 8533 9549 
582 28057 975711 3372 27812 31200 
586 28332 975807 2288 19022 21315 
588 28470 977283 2085 17319 19408 
587 28376 981217 2609 21670 24296 
595 28824 981673 1290 10924 12214 
589 28492 982663 2544 21337 23881 
599 29017 983335 803 6725 7528 
601 29125 984891 396 3278 3674 
594 28824 986261 2117 17476 19593 
600 29038 988193 1174 9729 10910 
598 28951 989184 1448 12025 13473 
606 29355 989510 348 2901 3249 
596 28860 990162 2149 18150 20315 
591 28564 992441 3232 26582 29831 
609 29451 996037 693 5834 6527 
602 29164 998080 1756 14641 16407 
597 28908 998219 2808 23176 25986 
605 29260 998842 1474 12465 13951 
614 29580 1001554 348 2977 3335 
607 29395 1002109 1490 12422 13916 
608 29422 1003570 1547 12839 14386 
610 29470 1011771 2351 19258 21609 
603 29215 1013219 3305 27247 30556 
617 29640 1015821 1480 12225 13712 
611 29513 1016055 2517 21096 23614 
616 29631 1016963 1620 13778 15409 
604 29253 1017049 3642 30063 33714 
615 29590 1021307 2416 20046 22465 
625 30114 1022009 62 640 702 
619 29756 1022119 1101 9247 10348 
621 29847 1022132 673 5638 6311 
613 29570 1022286 2596 21594 24206 
622 29927 1023590 802 6733 7535 
612 29528 1025670 3198 26435 29633 
623 30013 1027626 1126 9537 10663 
618 29690 1029151 2759 22799 25581 
620 29786 1032647 2108 17320 19428 
626 30202 1033621 1239 10372 11612 
630 30418 1037555 1496 12469 13965 
627 30216 1038965 1826 15020 16846 
624 30031 1042700 2779 22865 25651 
635 30508 1045177 1237 10319 11556 
633 30469 1045954 1821 14982 16803 
629 30337 1047215 2698 22216 24929 
634 30478 1048181 1694 13836 15534 
631 30433 1049118 2500 20943 23448 
628 30306 1052525 3254 27131 30393 
632 30449 1052609 2664 22314 24983 
640 30819 1056557 1143 9460 10603 
645 31075 1056942 461 3872 4333 
639 30722 1058427 1402 11848 13250 
647 31250 1059293 248 2103 2351 
637 30530 1059877 2222 18689 20912 
643 31050 1061507 1329 11054 12389 
638 30626 1064462 2323 19430 21762 
642 30964 1068106 2163 17762 19925 
636 30528 1068985 3376 28054 31430 
652 31476 1072172 837 6873 7710 
646 31170 1072434 1735 14131 15877 
654 31599 1072580 385 3210 3595 
651 31409 1073908 1319 11068 12401 
657 31688 1074191 170 1441 1611 
659 31820 1074895 80 624 704 
641 30889 1074929 2975 24734 27714 
661 31913 1075281 29 323 352 
656 31624 1076740 472 3834 4306 
662 31987 1077658 258 2114 2377 
649 31294 1079123 2153 17669 19830 
648 31262 1079456 2232 18777 21029 
650 31316 1080113 2205 18012 20236 
658 31779 1080366 665 5774 6458 
655 31622 1081520 999 8349 9348 
644 31052 1081676 3139 26012 29151 
653 31511 1083052 1604 13332 14946 
666 32306 1083695 457 3775 4239 
668 32375 1089153 930 7857 8787 
660 31886 1093785 2019 16860 18890 
665 32213 1096166 1834 15202 17043 
673 32718 1099505 1105 9247 10352 
664 32150 1100093 2382 20033 22435 
663 32056 1101215 2645 21827 24475 
676 32776 1103784 467 3812 4279 
672 32627 1103927 2178 18050 20232 
675 32758 1103930 833 6928 7764 
678 32784 1105867 482 4170 4652 
674 32747 1108001 1487 12729 14216 
669 32460 1109861 3065 25271 28341 
670 32500 1110769 3149 25938 29093 
671 32594 1110779 2970 24757 27727 
667 32338 1111631 3411 28098 31518 
680 32829 1116526 1366 11233 12599 
682 32945 1121938 1716 14355 16071 
679 32803 1123027 2084 17159 19243 
686 33254 1123802 1394 11629 13023 
688 33347 1125364 952 7886 8838 
677 32778 1125525 2739 22685 25432 
687 33286 1132273 2260 18373 20642 
684 33072 1132276 2374 20033 22415 
683 33009 1132745 2660 22084 24744 
685 33155 1133103 2422 19907 22334 
690 33418 1134121 1193 9900 11094 
681 32854 1136326 3537 28855 32396 
697 33744 1138317 546 4668 5214 
689 33410 1138591 1783 14869 16653 
698 33761 1142111 856 7134 7990 
693 33531 1143917 1986 16402 18392 
695 33636 1147472 1633 13563 15196 
703 33872 1151378 814 6647 7461 
691 33424 1152426 3113 25506 28624 
692 33493 1153269 2987 24894 27905 
694 33595 1154900 2405 20217 22627 
702 33826 1155109 1410 11587 12998 
696 33665 1157633 2620 22255 24888 
699 33767 1158494 2393 19775 22168 
709 34183 1160974 633 5232 5865 
