RR 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
186800 9 0 124 
187000 9 0 124 
187200 9 0 124 
187400 9 0 124 
187600 9 0 124 
187800 9 0 124 
188000 9 0 124 
188200 9 0 125 
188400 9 0 126 
188600 9 0 126 
188800 9 0 126 
189000 9 0 126 
189200 9 0 126 
189400 9 0 126 
189600 9 0 126 
189800 9 0 126 
190000 9 0 126 
190200 9 0 126 
190400 9 0 126 
190600 9 0 126 
190800 9 0 126 
191000 9 0 126 
191200 9 0 126 
191400 9 0 126 
191600 9 0 126 
191800 9 0 126 
192000 9 0 126 
192200 9 0 126 
192400 9 0 126 
192600 10 0 126 
192800 10 0 126 
193000 10 0 126 
193200 9 0 127 
193400 9 1 127 
193600 9 0 127 
193800 8 1 127 
194000 9 0 127 
194200 10 0 127 
194400 9 0 127 
194600 9 0 127 
194800 9 0 127 
195000 9 0 127 
195200 9 0 127 
195400 9 0 127 
195600 10 0 127 
195800 9 0 127 
196000 9 0 127 
196200 9 0 127 
196400 10 0 128 
196600 9 0 128 
196800 10 0 128 
197000 9 0 128 
197200 9 0 128 
197400 9 0 129 
197600 9 0 129 
197800 7 2 129 
198000 9 0 129 
198200 9 0 129 
198400 9 0 129 
198600 9 0 129 
198800 9 0 130 
199000 9 0 130 
199200 9 0 130 
199400 9 0 130 
199600 9 0 130 
199800 9 0 130 
200000 9 0 130 
200200 9 0 130 
200400 9 0 130 
200600 9 0 130 
200800 9 0 130 
201000 9 0 130 
201200 9 0 130 
201400 9 0 130 
201600 9 0 130 
201800 9 0 130 
202000 9 0 130 
202200 8 1 130 
202400 9 0 130 
202600 9 0 130 
202800 9 0 130 
203000 9 0 130 
203200 9 0 131 
203400 9 0 131 
203600 9 0 131 
203800 9 0 131 
204000 10 0 131 
204200 9 0 131 
204400 9 0 131 
204600 9 0 131 
204800 9 0 131 
205000 9 0 131 
205200 9 0 131 
205400 9 0 131 
205600 9 0 131 
205800 9 0 132 
206000 9 0 132 
206200 9 0 132 
206400 9 0 132 
206600 9 0 132 
206800 9 0 132 
207000 10 0 132 
207200 9 0 132 
207400 9 0 132 
207600 9 0 132 
207800 8 1 132 
208000 9 0 132 
208200 9 0 132 
208400 9 0 133 
